Var1,Var2,Correlation,AbsCorr
术后CRP,术后CAR,0.970801366720767,0.970801366720767
术前WBC,术前NEUT,0.8929724884941413,0.8929724884941413
ICUAdmSCr,ICUAdmeGFR,-0.8483780338473745,0.8483780338473745
术前eGFR,术前Scr,-0.834918367985226,0.834918367985226
ICUAdmeGFR,术前eGFR,0.7958131152240866,0.7958131152240866
ICUAdmSCr,术前Scr,0.7703045135127947,0.7703045135127947
手术时间,术中失血量,0.7148404261199366,0.7148404261199366
术后PLT,术前PLT,0.694399170622124,0.694399170622124
手术时间,术中晶体液量,0.6896021806298226,0.6896021806298226
术后β2MG,术前β2MG,0.6858362218611932,0.6858362218611932
ICUAdmeGFR,术前Scr,-0.6631880552018077,0.6631880552018077
术后Mb,手术时间,0.6239959258822292,0.6239959258822292
ICUAdmSCr,术前eGFR,-0.6070250040323809,0.6070250040323809
ICUAdmeGFR,术后Urea,-0.5662208792982637,0.5662208792982637
ICUAdmSCr,术后Urea,0.549011726624529,0.549011726624529
