Rank,Feature,Pearson_r,P_value,Direction,Significance
1,ICUAdmSCr,0.4209,0.0,+,***
2,ICUAdmeGFR,-0.4008,0.0,-,***
3,术后β2MG,0.3312,0.0,+,***
4,术后Lactate,0.3112,0.0,+,***
5,手术时间,0.2702,0.0,+,***
6,术后Urea,0.2538,0.0,+,***
7,术后hsTn,0.2467,0.0,+,***
8,术中失血量,0.2396,0.0,+,***
9,术前β2MG,0.217,0.0,+,***
10,术前SBP,0.2121,0.0,+,***
11,术后Mb,0.1944,0.0001,+,***
12,术前Scr,0.1865,0.0001,+,***
13,术中晶体液量,0.1854,0.0001,+,***
14,APACHEII,0.1851,0.0001,+,***
15,术前NEUT,0.183,0.0002,+,***
16,术后MONO,0.1775,0.0003,+,***
17,术前eGFR,-0.1763,0.0003,-,***
18,术后UA,0.1762,0.0003,+,***
19,术后Alb,-0.166,0.0006,-,***
20,术后BNP,0.1522,0.0018,+,**
21,术前WBC,0.1487,0.0022,+,**
22,术后CAR,0.1434,0.0032,+,**
23,术前LMR,-0.1429,0.0033,-,**
24,术后PLT,-0.1386,0.0044,-,**
25,术后PaO2,-0.1355,0.0054,-,**
26,术后CRP,0.1353,0.0055,+,**
27,术前RBP,0.1332,0.0062,+,**
28,术前PLT,-0.1284,0.0084,-,**
29,术前BNP,0.1065,0.0291,+,*
30,术前PLR,-0.0685,0.1609,-,ns
31,术前PaO2,-0.0677,0.1664,-,ns
32,术后BE,-0.0612,0.2108,-,ns
33,术后PLR,-0.0579,0.2364,-,ns
34,术前CKMBCK,-0.0249,0.6109,-,ns
35,术前hsTn,-0.0014,0.9779,-,ns
