Variable,OR,CI_lower,CI_upper,p_value,n
术后UA,1.3793,1.3781,1.3805,0.002,420
术前WBC,1.361,1.3126,1.4112,0.002,420
术后BNP,1.5883,1.5882,1.5883,0.002,420
术前LMR,0.7149,0.6678,0.7653,0.003,420
术后CAR,1.3259,1.1854,1.4831,0.003,420
术前SBP,3.7338,3.7281,3.7396,0.004,420
术后CRP,1.3056,1.2998,1.3114,0.005,420
术前RBP,1.3349,1.3219,1.348,0.006,420
术前Urea,1.3232,1.2677,1.3812,0.006,420
术后PLT,0.724,0.723,0.725,0.007,420
术前PLT,0.7393,0.7385,0.7401,0.008,420
术前NLR,1.2844,1.2395,1.331,0.010,420
术后LMR,0.7043,0.6505,0.7626,0.010,420
术前BE,0.7334,0.7152,0.7521,0.015,419
术后7dRBP,1.284,1.2649,1.3033,0.016,420
术中胶体液量,1.2627,1.2623,1.263,0.022,420
术前BNP,1.2376,1.2375,1.2376,0.029,420
术前ALTAST,1.4026,1.2644,1.5558,0.032,420
术前pH,0.8027,0.1801,3.5789,0.042,420
术前UA,1.2289,1.228,1.2298,0.049,420
术后CKMB,1.2141,1.2115,1.2167,0.052,420
术后CK,1.2008,1.2007,1.2009,0.058,420
术后Hb,0.8233,0.8191,0.8274,0.059,420
糖尿病,1.1938,0.819,1.74,0.066,420
术后DBP,0.822,0.8146,0.8295,0.071,420
术后PaO2,0.801,0.8003,0.8018,0.102,419
术前Alb,0.8573,0.8401,0.8749,0.142,420
术前PLR,0.8519,0.8509,0.8528,0.161,420
术前ALT,1.1457,1.1425,1.1488,0.164,420
术前PaO2 ,0.787,0.7866,0.7873,0.170,420
术后AST,1.1357,1.1333,1.138,0.197,420
术后WBC,1.1396,1.1158,1.1639,0.206,420
术后BE,0.8764,0.848,0.9057,0.211,420
术后PLR,0.7961,0.7958,0.7963,0.236,420
冠心病,1.1193,0.7632,1.6416,0.255,420
术后CKMBCK,0.8531,0.3744,1.9441,0.270,420
术后K ,1.1145,0.9419,1.3188,0.298,420
术后ALTAST,0.883,0.6909,1.1284,0.317,420
术后LYM,1.0915,0.9516,1.2519,0.394,420
术前Hb,0.8521,0.8507,0.8535,0.412,420
术后PaCO2 ,1.0762,1.0691,1.0833,0.450,420
术前MONO,1.066,0.8822,1.2883,0.513,420
术前K,0.8903,0.8768,0.904,0.559,420
术前CK,0.915,0.9147,0.9152,0.573,420
术前AST,1.0562,1.053,1.0594,0.586,420
术前LYM,0.9447,0.8244,1.0825,0.596,420
术前CKMBCK,0.921,0.8436,1.0055,0.611,420
术后SBP,0.9479,0.943,0.9528,0.616,420
术前Lactate,1.0497,0.91,1.2108,0.639,420
术前CAR,1.0444,0.9441,1.1555,0.673,420
术中尿量,1.0396,1.0395,1.0397,0.711,420
术后NEUT,1.0363,1.018,1.055,0.725,420
术前HCO3,0.9645,0.9356,0.9942,0.730,418
术前CKMB,0.9612,0.958,0.9644,0.736,420
术后pH,1.0384,0.8417,1.2811,0.753,419
术前CRP,1.0317,1.0285,1.0348,0.764,420
术前DBP,1.0273,1.0195,1.0352,0.799,420
术后NLR,0.9748,0.9691,0.9807,0.815,420
术前PaCO2,1.0153,1.0057,1.025,0.884,420
术前Mb,1.0122,1.0114,1.013,0.906,420
术后HCO3,0.9912,0.956,1.0278,0.934,420
术后ALT,0.9932,0.9903,0.9961,0.949,420
术前hsTn,0.997,0.9967,0.9974,0.978,420
性别,0.6544,0.5405,0.7924,<0.001,420
总住院天数,1.6168,1.604,1.6297,<0.001,420
总住院费用,1.9393,1.9393,1.9393,<0.001,420
年龄,1.5565,1.5439,1.5692,<0.001,420
手术时间,1.7527,1.7517,1.7537,<0.001,420
高血压,1.5916,1.2808,1.9778,<0.001,420
APACHEII,1.5342,1.5093,1.5594,<0.001,420
术中失血量,1.6859,1.6852,1.6867,<0.001,420
术中晶体液量,1.4645,1.4641,1.4648,<0.001,420
术前β2MG,1.5903,1.4243,1.7755,<0.001,420
术前eGFR,0.6788,0.6757,0.682,<0.001,420
术前Scr,1.4884,1.4817,1.4951,<0.001,420
ICUAdmeGFR,0.3694,0.3677,0.3711,<0.001,420
ICUAdmSCr,2.7069,2.6948,2.719,<0.001,420
术后48heGFR,0.1337,0.1333,0.1342,<0.001,420
术后48hSCr,8.5185,8.4976,8.5394,<0.001,420
术后7deGFR,0.138,0.1376,0.1385,<0.001,420
术后7dSCr,18.3631,18.3284,18.3978,<0.001,420
术后Urea,1.7624,1.6907,1.8371,<0.001,420
术后48hUrea,3.1732,3.1093,3.2383,<0.001,420
术后7dUrea,7.8173,7.7049,7.9313,<0.001,420
术后Alb,0.6965,0.6823,0.7109,<0.001,420
术后hsTn,1.699,1.6988,1.6993,<0.001,420
术后Mb,1.4709,1.4706,1.4711,<0.001,420
术后β2MG,2.3299,2.0909,2.5962,<0.001,420
术后Lactate,1.9344,1.8846,1.9855,<0.001,420
术前NEUT,1.4613,1.3992,1.5261,<0.001,420
术后MONO,1.4778,1.2084,1.8073,<0.001,420
术后通气时间,1.4987,1.4987,1.4987,<0.001,420
ICU住院天数,1.6879,1.643,1.734,<0.001,420
