Feature,VIF
ICUAdmeGFR,36.47219768576789
ICUAdmSCr,33.26443560382312
术前eGFR,31.612165831291275
术前Scr,28.180630850049344
术后CAR,25.88143116840868
术后CRP,24.362223803848572
术前NEUT,8.226165813843908
术前WBC,7.968401294157565
手术时间,4.872780352928488
术前PLT,3.077053911675777
术后PLT,3.026400175217508
术前β2MG,3.0173348289776487
术中失血量,2.688456499350535
术后β2MG,2.6842754006690415
术后Urea,2.637660561675481
术前PLR,2.5262604663616797
术后Lactate,2.3842750111498345
术中晶体液量,2.18929405812248
术后Mb,2.1010637483877526
术后UA,1.880353499654142
术前LMR,1.851659838298052
术后Alb,1.819309890558516
术后hsTn,1.6041564560183414
术后BE,1.5066940903961241
术前RBP,1.4994625999163795
术后PLR,1.4697017058298982
术后MONO,1.378257763568898
术前BNP,1.3237589527311733
术后BNP,1.2820030122508979
APACHEII,1.25673315418361
术前PaO2,1.2362858244388362
术前SBP,1.2283740019565113
术前hsTn,1.1485216023824052
术后PaO2,1.148462076188294
术前CKMBCK,1.1236172443730494
