模型,外折,trial,内层CV_AUC
LogisticRegression,1,1,0.5
LogisticRegression,1,2,0.753492308965131
LogisticRegression,1,3,0.7691167936886477
LogisticRegression,1,4,0.5
LogisticRegression,1,5,0.7535941348301737
LogisticRegression,1,6,0.7474048868315436
LogisticRegression,1,7,0.5
LogisticRegression,1,8,0.7504388347649703
LogisticRegression,1,9,0.7443427342906123
LogisticRegression,1,10,0.5
LogisticRegression,1,11,0.7463104034213491
LogisticRegression,1,12,0.7654394914260886
LogisticRegression,1,13,0.7768558487099068
LogisticRegression,1,14,0.7673008508823848
LogisticRegression,1,15,0.7493032738751279
LogisticRegression,1,16,0.5724971231300345
LogisticRegression,1,17,0.749875321170928
LogisticRegression,1,18,0.771908326636547
LogisticRegression,1,19,0.7467785999059268
LogisticRegression,1,20,0.7646766652723466
LogisticRegression,2,1,0.7606762394550928
LogisticRegression,2,2,0.7772439151813687
LogisticRegression,2,3,0.7562964255071477
LogisticRegression,2,4,0.7559367082822034
LogisticRegression,2,5,0.7744505019263023
LogisticRegression,2,6,0.781523928210451
LogisticRegression,2,7,0.7916314470670391
LogisticRegression,2,8,0.7550395124855288
LogisticRegression,2,9,0.770092383830284
LogisticRegression,2,10,0.7690911925833742
LogisticRegression,2,11,0.7907277425147864
LogisticRegression,2,12,0.7909834642894955
LogisticRegression,2,13,0.7901123035151331
LogisticRegression,2,14,0.7908924863504163
LogisticRegression,2,15,0.7906497820868633
LogisticRegression,2,16,0.7917788342211276
LogisticRegression,2,17,0.7902640298396069
LogisticRegression,2,18,0.791770155880357
LogisticRegression,2,19,0.7901707376763222
LogisticRegression,2,20,0.7916488037485804
LogisticRegression,3,1,0.7463122837285159
LogisticRegression,3,2,0.7694941568731591
LogisticRegression,3,3,0.7500245886321836
LogisticRegression,3,4,0.5
LogisticRegression,3,5,0.765279086760844
LogisticRegression,3,6,0.7669671686797525
LogisticRegression,3,7,0.7561836070771291
LogisticRegression,3,8,0.7853813060440015
LogisticRegression,3,9,0.7560383895082331
LogisticRegression,3,10,0.7489908536073838
LogisticRegression,3,11,0.7876113503440383
LogisticRegression,3,12,0.7880014417616801
LogisticRegression,3,13,0.7880014417616801
LogisticRegression,3,14,0.7872342764375526
LogisticRegression,3,15,0.7862936889370248
LogisticRegression,3,16,0.7878735808743255
LogisticRegression,3,17,0.786423719409572
LogisticRegression,3,18,0.7874487760936012
LogisticRegression,3,19,0.5
LogisticRegression,3,20,0.7880014417616801
LogisticRegression,4,1,0.7863262327149148
LogisticRegression,4,2,0.778472623595483
LogisticRegression,4,3,0.7755448406974841
LogisticRegression,4,4,0.7633483005783824
LogisticRegression,4,5,0.5
LogisticRegression,4,6,0.7800373284364349
LogisticRegression,4,7,0.5
LogisticRegression,4,8,0.7809193371367608
LogisticRegression,4,9,0.5
LogisticRegression,4,10,0.7614542527051834
LogisticRegression,4,11,0.790974641309712
LogisticRegression,4,12,0.7906062457439971
LogisticRegression,4,13,0.7916074369909069
LogisticRegression,4,14,0.7917244499522981
LogisticRegression,4,15,0.7905217765604959
LogisticRegression,4,16,0.7889896154974338
LogisticRegression,4,17,0.7909572846281708
LogisticRegression,4,18,0.7367989419366934
LogisticRegression,4,19,0.7859491588084291
LogisticRegression,4,20,0.7919780021418145
LogisticRegression,5,1,0.5
LogisticRegression,5,2,0.7776208444488416
LogisticRegression,5,3,0.76164069239274
LogisticRegression,5,4,0.7602645968245372
LogisticRegression,5,5,0.751758376479151
LogisticRegression,5,6,0.7800892538420462
LogisticRegression,5,7,0.774762488277008
LogisticRegression,5,8,0.7541616983165754
LogisticRegression,5,9,0.7731350101044816
LogisticRegression,5,10,0.7618032666431773
LogisticRegression,5,11,0.7622322659552742
LogisticRegression,5,12,0.7818619495834686
LogisticRegression,5,13,0.7831492367977848
LogisticRegression,5,14,0.7813461668636651
LogisticRegression,5,15,0.7804988715264217
LogisticRegression,5,16,0.7763400659901033
LogisticRegression,5,17,0.7750008533701758
LogisticRegression,5,18,0.7703457913807875
LogisticRegression,5,19,0.7807394062047822
LogisticRegression,5,20,0.7926886136119196
RandomForest,1,1,0.7561990834515034
RandomForest,1,2,0.7803364419149975
RandomForest,1,3,0.7775603853414724
RandomForest,1,4,0.7673682526623703
RandomForest,1,5,0.7629062837551296
RandomForest,1,6,0.7704544152794338
RandomForest,1,7,0.7737678057856763
RandomForest,1,8,0.7703287239772719
RandomForest,1,9,0.7737678057856763
RandomForest,1,10,0.7544631260193434
RandomForest,1,11,0.7722855451820454
RandomForest,1,12,0.7775603853414724
RandomForest,1,13,0.7830128422086724
RandomForest,1,14,0.7771529372422895
RandomForest,1,15,0.7803364419149975
RandomForest,1,16,0.7770250763549349
RandomForest,1,17,0.7731154838377474
RandomForest,1,18,0.7792247464622744
RandomForest,1,19,0.7710025971381146
RandomForest,1,20,0.7838926813238056
RandomForest,2,1,0.7991860873469213
RandomForest,2,2,0.7787371683499754
RandomForest,2,3,0.7998188830281161
RandomForest,2,4,0.7797165191059457
RandomForest,2,5,0.7780436242833858
RandomForest,2,6,0.7778897283737195
