Feature,Mean_ABS_SHAP
术后β2MG,0.51268375
ICUAdmSCr,0.4311607
术前SBP,0.15530537
术后BE,0.15313579
术后hsTn,0.14388892
ICUAdmeGFR,0.12933607
术前PLR,0.12825868
术后MONO,0.12781821
术后Mb,0.12252455
术前hsTn,0.117233925
术后Lactate,0.11246269
术后BNP,0.1111214
术后PaO2,0.10312629
术后PLR,0.09543386
术前PLT,0.08547204
术后UA,0.06904203
手术时间,0.062932715
术前PaO2,0.060594544
APACHEII,0.054080687
术前eGFR,0.052283105
术中失血量,0.04988707
术后CRP,0.041818473
术前CKMBCK,0.04115723
术前NEUT,0.03597846
术前LMR,0.03420549
术后CAR,0.033807553
术后Alb,0.030186612
术中晶体液量,0.03006354
术前RBP,0.027234556
术前WBC,0.025705108
术后PLT,0.02110363
术前β2MG,0.014828222
术前BNP,0.0141858505
术前Scr,0.01289728
术后Urea,0.0070709838
