阈值,净获益_模型,净获益_全部干预,净获益_差值,真阳例数,假阳例数,每千例_真阳,每千例_假阳
0.05,0.2607,0.2607,0.0,125,295,297.6,702.4
0.06,0.2528,0.2528,0.0,125,295,297.6,702.4
0.07,0.2448,0.2448,0.0,125,295,297.6,702.4
0.08,0.2367,0.2365,0.0002,125,294,297.6,700.0
0.09,0.2291,0.2282,0.0009,125,291,297.6,692.9
0.1,0.2212,0.2196,0.0016,125,289,297.6,688.1
0.11,0.2129,0.2108,0.0021,125,288,297.6,685.7
0.12,0.2051,0.2018,0.0032,125,285,297.6,678.6
0.13,0.1976,0.1927,0.005,125,281,297.6,669.0
0.14,0.1906,0.1833,0.0074,125,276,297.6,657.1
0.15,0.185,0.1737,0.0113,125,268,297.6,638.1
0.16,0.1779,0.1638,0.0141,125,264,297.6,628.6
0.17,0.1714,0.1538,0.0176,124,254,295.2,604.8
0.18,0.1677,0.1434,0.0243,124,244,295.2,581.0
0.19,0.1634,0.1329,0.0306,124,236,295.2,561.9
0.2,0.1554,0.122,0.0333,123,231,292.9,550.0
0.21,0.1479,0.1109,0.037,123,229,292.9,545.2
0.22,0.1451,0.0995,0.0456,123,220,292.9,523.8
0.23,0.1407,0.0878,0.0528,123,214,292.9,509.5
0.24,0.1341,0.0758,0.0583,122,208,290.5,495.2
0.25,0.127,0.0635,0.0635,121,203,288.1,483.3
0.26,0.1185,0.0508,0.0677,119,197,283.3,469.0
0.27,0.1134,0.0378,0.0755,119,193,283.3,459.5
0.28,0.1008,0.0245,0.0763,117,192,278.6,457.1
0.29,0.0953,0.0107,0.0846,116,186,276.2,442.9
0.3,0.0922,-0.0034,0.0956,115,178,273.8,423.8
0.31,0.0853,-0.0179,0.1032,114,174,271.4,414.3
0.32,0.0842,-0.0329,0.1171,113,165,269.0,392.9
0.33,0.0849,-0.0483,0.1333,113,157,269.0,373.8
0.34,0.0803,-0.0642,0.1445,111,150,264.3,357.1
0.35,0.0773,-0.0806,0.1579,110,144,261.9,342.9
0.36,0.0734,-0.0975,0.1708,109,139,259.5,331.0
0.37,0.0768,-0.1149,0.1916,108,129,257.1,307.1
0.38,0.0753,-0.1329,0.2081,107,123,254.8,292.9
0.39,0.0728,-0.1514,0.2242,106,118,252.4,281.0
0.4,0.0667,-0.1706,0.2373,104,114,247.6,271.4
0.41,0.0616,-0.1905,0.2521,103,111,245.2,264.3
0.42,0.0567,-0.211,0.2677,102,108,242.9,257.1
0.43,0.0459,-0.2322,0.2782,100,107,238.1,254.8
0.44,0.0364,-0.2543,0.2906,97,104,231.0,247.6
0.45,0.0329,-0.2771,0.31,94,98,223.8,233.3
0.46,0.0328,-0.3007,0.3335,93,93,221.4,221.4
0.47,0.0311,-0.3252,0.3564,92,89,219.0,211.9
0.48,0.0253,-0.3507,0.376,90,86,214.3,204.8
0.49,0.0266,-0.3772,0.4038,89,81,211.9,192.9
0.5,0.0286,-0.4048,0.4333,88,76,209.5,181.0
0.51,0.0288,-0.4334,0.4622,86,71,204.8,169.0
0.52,0.03,-0.4633,0.4933,83,65,197.6,154.8
0.53,0.0216,-0.4944,0.5161,79,62,188.1,147.6
0.54,0.0193,-0.5269,0.5462,75,57,178.6,135.7
0.55,0.0214,-0.5608,0.5823,75,54,178.6,128.6
0.56,0.0132,-0.5963,0.6095,73,53,173.8,126.2
0.57,0.0112,-0.6334,0.6447,71,50,169.0,119.0
0.58,0.0145,-0.6723,0.6868,71,47,169.0,111.9
0.59,0.0053,-0.7131,0.7185,67,45,159.5,107.1
0.6,0.0036,-0.756,0.7595,63,41,150.0,97.6
0.61,-0.001,-0.801,0.7999,59,38,140.5,90.5
0.62,-0.0026,-0.8484,0.8457,56,35,133.3,83.3
0.63,0.0151,-0.8983,0.9134,54,28,128.6,66.7
0.64,0.0138,-0.9511,0.9648,52,26,123.8,61.9
0.65,0.0221,-1.0068,1.0289,52,23,123.8,54.8
0.66,0.0312,-1.0658,1.0971,50,19,119.0,45.2
0.67,0.025,-1.1284,1.1534,45,17,107.1,40.5
0.68,0.0244,-1.1949,1.2193,40,14,95.2,33.3
0.69,0.021,-1.2657,1.2868,40,14,95.2,33.3
0.7,0.0135,-1.3413,1.3548,36,13,85.7,31.0
0.71,0.0062,-1.422,1.4282,32,12,76.2,28.6
0.72,0.0102,-1.5085,1.5187,30,10,71.4,23.8
0.73,0.008,-1.6014,1.6094,25,8,59.5,19.0
0.74,-0.0022,-1.7015,1.6993,19,7,45.2,16.7
0.75,0.0071,-1.8095,1.8167,18,5,42.9,11.9
0.76,0.0032,-1.9266,1.9298,14,4,33.3,9.5
0.77,0.0014,-2.0538,2.0553,14,4,33.3,9.5
0.78,0.0032,-2.1926,2.1959,12,3,28.6,7.1
0.79,-0.0054,-2.3447,2.3392,9,3,21.4,7.1
0.8,-0.0048,-2.5119,2.5071,6,2,14.3,4.8
