特征,Logistic显著,XGBoost_Top10,SHAP_Top10,方法数
ICUAdmSCr,True,True,True,3
术后β2MG,True,True,True,3
术后Lactate,True,True,True,3
ICUAdmeGFR,False,True,True,2
术后hsTn,False,True,True,2
术前SBP,True,False,True,2
术后MONO,False,True,True,2
术后BE,False,True,True,2
术前hsTn,False,False,True,1
术前PLR,False,False,True,1
术后PaO2,False,True,False,1
术后PLR,False,True,False,1
术后Mb,False,True,False,1
手术时间,False,False,False,0
术前β2MG,False,False,False,0
术后UA,False,False,False,0
术后PLT,False,False,False,0
术前eGFR,False,False,False,0
术后Urea,False,False,False,0
术前WBC,False,False,False,0
APACHEII,False,False,False,0
术前RBP,False,False,False,0
术中晶体液量,False,False,False,0
术前PLT,False,False,False,0
术后Alb,False,False,False,0
术中失血量,False,False,False,0
术后CRP,False,False,False,0
术前PaO2,False,False,False,0
术后CAR,False,False,False,0
术前NEUT,False,False,False,0
术前BNP,False,False,False,0
术前CKMBCK,False,False,False,0
术前LMR,False,False,False,0
术后BNP,False,False,False,0
术前Scr,False,False,False,0
