project_feature,mimic_concept,source,notes
ICUAdmSCr,creatinine_icu_first,labevents/chartevents,入ICU后首次血清肌酐
术后β2MG,beta2_microglobulin_postop,labevents,术后早期β2微球蛋白
ICUAdmeGFR,egfr_icu_first,derived,由入ICU肌酐CKD-EPI推导
术前hsTn,troponin_preop,labevents,术前高敏肌钙蛋白
术后Mb,myoglobin_postop,labevents,术后肌红蛋白
术后Lactate,lactate_postop,labevents,术后早期乳酸
术后hsTn,troponin_postop,labevents,术后高敏肌钙蛋白
手术时间,case_duration,procedures,手术或麻醉时长
术后Urea,bun_postop,labevents,术后尿素氮
术前β2MG,beta2_microglobulin_preop,labevents,术前β2微球蛋白
术前SBP,sbp_preop,chartevents,术前收缩压
术后UA,uric_acid_postop,labevents,术后尿酸
术后MONO,monocyte_postop,labevents,术后单核细胞计数
术前PLR,plr_preop,derived,血小板/淋巴细胞比值
术后PaO2,pao2_postop,labevents/chartevents,术后动脉氧分压
术后PLR,plr_postop,derived,血小板/淋巴细胞比值
术后PLT,platelet_postop,labevents,术后血小板
术前eGFR,egfr_preop,derived,术前CKD-EPI估算eGFR
术前WBC,wbc_preop,labevents,术前白细胞
APACHEII,apache_ii,derived,入ICU24小时APACHE II
术中晶体液量,crystalloid_volume,inputevents,术中晶体输入量
术前RBP,retinol_binding_protein_preop,labevents,术前视黄醇结合蛋白
术后CRP,crp_postop,labevents,术后C反应蛋白
术前PLT,platelet_preop,labevents,术前血小板
术后Alb,albumin_postop,labevents,术后白蛋白
术中失血量,estimated_blood_loss,procedures,术中失血量
术前PaO2,pao2_preop,labevents/chartevents,术前动脉氧分压
术后CAR,crp_albumin_ratio_postop,derived,术后CRP/白蛋白比值
术后BE,base_excess_postop,labevents/chartevents,术后碱剩余
术前NEUT,neutrophil_preop,labevents,术前中性粒细胞计数
术前BNP,bnp_preop,labevents,术前脑钠肽
术前CKMBCK,ckmb_ck_ratio_preop,derived,术前CKMB/CK比值
术前LMR,lmr_preop,derived,淋巴细胞/单核细胞比值
术后BNP,bnp_postop,labevents,术后脑钠肽
术前Scr,creatinine_preop,labevents,术前血清肌酐
